epoch,trainnum,loss
1,10,3.212453842163086
1,20,3.17201943397522
1,30,3.2128386735916137
1,40,3.205564332008362
1,50,3.146813893318176
1,60,3.1637653350830077
1,70,3.138049840927124
1,80,3.186356258392334
1,90,3.1636313438415526
1,100,3.1212129831314086
1,110,3.09023973941803
1,120,3.113798236846924
1,130,3.1234055280685427
1,140,3.144557785987854
1,150,3.1097116231918336
1,160,3.1048488855361938
1,170,3.146202898025513
1,180,3.1376189231872558
1,190,3.134494090080261
1,200,3.145294713973999
2,10,3.0818592071533204
2,20,3.128981876373291
2,30,3.113865613937378
2,40,3.1073549032211303
2,50,3.152775764465332
2,60,3.126349377632141
2,70,3.125484991073608
2,80,3.15247905254364
2,90,3.076500964164734
2,100,3.169400525093079
2,110,3.0722835540771483
2,120,3.0894915103912353
2,130,3.1721314668655394
2,140,3.1810534238815307
2,150,3.1100337266922
2,160,3.1605016469955443
2,170,3.0975027561187742
2,180,3.142652082443237
2,190,3.114072823524475
2,200,3.145201873779297
3,10,3.1431519031524657
3,20,3.114219331741333
3,30,3.1407427310943605
3,40,3.1086287975311278
3,50,3.098351168632507
3,60,3.0732820987701417
3,70,3.1588188886642454
3,80,3.1399359941482543
3,90,3.1308579444885254
3,100,3.1187915802001953
3,110,3.1478163242340087
3,120,3.147269582748413
3,130,3.0677417516708374
3,140,3.1241610527038572
3,150,3.1217175245285036
3,160,3.162466263771057
3,170,3.096170949935913
3,180,3.1494037389755247
3,190,3.103726315498352
3,200,3.1019135475158692
4,10,3.103191590309143
4,20,3.1490106344223023
4,30,3.0796218156814574
4,40,3.106133484840393
4,50,3.061230111122131
4,60,3.1118412017822266
4,70,3.0977651119232177
4,80,3.129825806617737
4,90,3.087780404090881
4,100,3.1681432008743284
4,110,3.134161877632141
4,120,3.100170111656189
4,130,3.1352822303771974
4,140,3.150800657272339
4,150,3.137661266326904
4,160,3.1173617601394654
4,170,3.0643189907073975
4,180,3.14571852684021
4,190,3.163002038002014
4,200,3.132607340812683
5,10,3.0940908670425413
5,20,3.1000386476516724
5,30,3.129449987411499
5,40,3.089683413505554
5,50,3.099368143081665
5,60,3.1230685472488404
5,70,3.0903896570205687
5,80,3.085156559944153
5,90,3.1047282457351684
5,100,3.1634157419204714
5,110,3.093077850341797
5,120,3.1001171588897707
5,130,3.131770634651184
5,140,3.0911227464675903
5,150,3.133630156517029
5,160,3.194606900215149
5,170,3.0937658309936524
5,180,3.133733296394348
5,190,3.0556931018829347
5,200,3.157044243812561
6,10,3.10909481048584
6,20,3.1500324249267577
6,30,3.1280151844024657
6,40,3.122280168533325
6,50,3.072223091125488
6,60,3.078846645355225
6,70,3.115858769416809
6,80,3.080760884284973
6,90,3.1006532669067384
6,100,3.1414060831069945
6,110,3.160743808746338
6,120,3.0869638442993166
6,130,3.1023951292037966
6,140,3.141340804100037
6,150,3.1157973289489744
6,160,3.108379578590393
6,170,3.184353756904602
6,180,3.121142935752869
6,190,3.107137084007263
6,200,3.1075636625289915
7,10,3.1001906871795653
7,20,3.078212761878967
7,30,3.0645366430282595
7,40,3.1148486137390137
7,50,3.0971980571746824
7,60,3.1168087244033815
7,70,3.192687726020813
7,80,3.04477219581604
7,90,3.0994527101516725
7,100,3.0948967218399046
7,110,3.1397929191589355
7,120,3.087094759941101
7,130,3.103660988807678
7,140,3.1449607849121093
7,150,3.148375153541565
